TYPE,SKU,DESCRIPTION,REVENUE,COMMISSION
EBU MBB,116672,36m Band Q Tablet Laptop Business Plan Unlimited Max,142.1875,7.109375
EBU MBB,116673N,36m Band P Tablet Laptop Business Plan 2GB,287.4,14.37
EBU MBB,116673,36m Band P Tablet Laptop Business Plan 2GB,143.7,7.185
EBU MBB,116674N,36m Band P Tablet Laptop Business Plan 6GB,304.9,15.245
EBU MBB,116674,36m Band P Tablet Laptop Business Plan 6GB,152.45,7.6225
EBU MBB,116675N,36m Band P Tablet Laptop Business Plan 25GB,319.9,15.995
EBU MBB,116675,36m Band P Tablet Laptop Business Plan 25GB,159.95,7.9975
EBU MBB,116676N,36m Band P Tablet Laptop Business Plan Unlimited Max,362.4,18.12
EBU MBB,116676,36m Band P Tablet Laptop Business Plan Unlimited Max,235.56,11.778
EBU MBB,116677N,36m Band 8 Tablet Laptop Business Plan 2GB,39.27,1.9635000000000002
EBU MBB,116677,36m Band 8 Tablet Laptop Business Plan 2GB,19.635,0.9817500000000001
EBU MBB,116678N,36m Band 8 Tablet Laptop Business Plan 6GB,76.77,3.8385
EBU MBB,116678,36m Band 8 Tablet Laptop Business Plan 6GB,38.385,1.91925
EBU MBB,116679N,36m Band 8 Tablet Laptop Business Plan 25GB,66.77,3.3385
EBU MBB,116679,36m Band 8 Tablet Laptop Business Plan 25GB,33.385,1.66925
EBU MBB,116680N,36m Band 5A Tablet Laptop Business Plan 100GB,136.78,6.839
EBU MBB,116680,36m Band 5A Tablet Laptop Business Plan 100GB,68.39,3.4195
EBU MBB,116681N,36m Band 5 Tablet Laptop Business Plan 100GB,145.66,7.283
EBU MBB,116681,36m Band 5 Tablet Laptop Business Plan 100GB,72.83,3.6415
EBU MBB,116682N,36m Band 4 Tablet Laptop Business Plan 100GB,140.0,7.0
EBU MBB,116682,36m Band 4 Tablet Laptop Business Plan 100GB,70.0,3.5
EBU MBB,116683N,36m Band 3 Tablet Laptop Business Plan 100GB,172.02,8.601
EBU MBB,116683,36m Band 3 Tablet Laptop Business Plan 100GB,86.01,4.3005
EBU MBB,116684N,36m Band 2 Tablet Laptop Business Plan 100GB,146.09,7.304500000000001
EBU MBB,116684,36m Band 2 Tablet Laptop Business Plan 100GB,73.045,3.6522500000000004
EBU MBB,116685N,36m Band 1 Tablet Laptop Business Plan 100GB,161.77,8.088500000000002
EBU MBB,116685,36m Band 1 Tablet Laptop Business Plan 100GB,80.885,4.044250000000001
EBU MBB,116686N,36m Band 0A Tablet Laptop Business Plan 100GB,183.75,9.1875
EBU MBB,116686,36m Band 0A Tablet Laptop Business Plan 100GB,91.875,4.59375
EBU MBB,116687N,36m Band 0 Tablet Laptop Business Plan 100GB,192.34,9.617
EBU MBB,116687,36m Band 0 Tablet Laptop Business Plan 100GB,96.17,4.8085
EBU MBB,116688N,36m Band X Tablet Laptop Business Plan 100GB,204.27,10.213500000000002
EBU MBB,116688,36m Band X Tablet Laptop Business Plan 100GB,102.135,5.106750000000001
EBU MBB,116689N,36m Band Y Tablet Laptop Business Plan 100GB,179.06,8.953000000000001
EBU MBB,116689,36m Band Y Tablet Laptop Business Plan 100GB,89.53,4.476500000000001
EBU MBB,116690N,36m Band Z Tablet Laptop Business Plan 100GB,286.88,14.344000000000001
EBU MBB,116690,36m Band Z Tablet Laptop Business Plan 100GB,143.44,7.172000000000001
EBU MBB,116691N,36m Band Q Tablet Laptop Business Plan 100GB,249.38,12.469000000000001
EBU MBB,116691,36m Band Q Tablet Laptop Business Plan 100GB,124.69,6.234500000000001
EBU MBB,116692N,36m Band P Tablet Laptop Business Plan 100GB,344.9,17.245
EBU MBB,116692,36m Band P Tablet Laptop Business Plan 100GB,172.45,8.6225
EBU SIMO AIRTIME,116705N,36m Standard1 2GB Red Bronze,135.0,6.75
EBU SIMO AIRTIME,116705,36m Standard1 2GB Red Bronze,67.5,3.375
EBU SIMO AIRTIME,116706N,36m Promo (5G)4 2GB Red Bronze,75.0,3.75
EBU SIMO AIRTIME,116706,36m Promo (5G)4 2GB Red Bronze,37.5,1.875
EBU SIMO AIRTIME,116711N,36m Standard1 6GB Red Bronze,160.0,8.0
EBU SIMO AIRTIME,116711,36m Standard1 6GB Red Bronze,80.0,4.0
EBU SIMO AIRTIME,116712N,36m Promo (5G)4 6GB Red Bronze,110.0,5.5
EBU SIMO AIRTIME,116712,36m Promo (5G)4 6GB Red Bronze,55.0,2.75
EBU SIMO AIRTIME,116713N,36m Promo (High tier)5 6GB Red Bronze,135.0,6.75
EBU SIMO AIRTIME,116713,36m Promo (High tier)5 6GB Red Bronze,67.5,3.375
EBU SIMO AIRTIME,116714N,36m Promo (High tier)5 10GB Retention Plans Bronze,160.0,8.0
EBU SIMO AIRTIME,116714,36m Promo (High tier)5 10GB Retention Plans Bronze,80.0,4.0
EBU SIMO AIRTIME,116716N,36m Standard1 25GB Red Bronze,185.0,9.25
EBU SIMO AIRTIME,116716,36m Standard1 25GB Red Bronze,92.5,4.625
EBU SIMO AIRTIME,116720N,36m Promo (5G)4 25GB Red Bronze,140.0,7.0
EBU SIMO AIRTIME,116720,36m Promo (5G)4 25GB Red Bronze,70.0,3.5
EBU SIMO AIRTIME,116721N,36m Promo (High tier)5 25GB Red Bronze,165.0,8.25
EBU SIMO AIRTIME,116721,36m Promo (High tier)5 25GB Red Bronze,82.5,4.125
EBU SIMO AIRTIME,116722N,36m Promo (High tier)5 40GB Retention Plans Bronze,200.0,10.0
EBU SIMO AIRTIME,116722,36m Promo (High tier)5 40GB Retention Plans Bronze,100.0,5.0
EBU SIMO AIRTIME,116727N,36m Standard1 100GB Red Bronze,215.0,10.75
EBU SIMO AIRTIME,116727,36m Standard1 100GB Red Bronze,107.5,5.375
EBU SIMO AIRTIME,116731N,36m Promo (High tier)5 120GB Retention Plans Bronze,240.0,12.0
EBU SIMO AIRTIME,116731,36m Promo (High tier)5 120GB Retention Plans Bronze,120.0,6.0
EBU SIMO AIRTIME,116738N,36m Promo14 250GB Red Bronze,150.0,7.5
EBU SIMO AIRTIME,116738,36m Promo14 250GB Red Bronze,75.0,3.75
EBU SIMO AIRTIME,116742N,36m Standard1 Unlimited Bronze,235.0,11.75
EBU SIMO AIRTIME,116742,36m Standard1 Unlimited Bronze,152.75,7.6375
EBU SIMO AIRTIME,116745N,36m Standard1 Unlimited Max Bronze,265.0,13.25
EBU SIMO AIRTIME,116745,36m Standard1 Unlimited Max Bronze,172.25,8.6125
EBU SIMO AIRTIME,116748N,36m Promo (mid tier)6 Unlimited Max Bronze,225.0,11.25
EBU SIMO AIRTIME,116748,36m Promo (mid tier)6 Unlimited Max Bronze,146.25,7.3125
EBU SIMO AIRTIME,116758N,36m Standard1 6GB Red Silver,177.5,8.875
EBU SIMO AIRTIME,116758,36m Standard1 6GB Red Silver,88.75,4.4375
EBU SIMO AIRTIME,116761N,36m Promo (low tier)7 10GB Retention Plans Silver,177.5,8.875
EBU SIMO AIRTIME,116761,36m Promo (low tier)7 10GB Retention Plans Silver,88.75,4.4375
EBU SIMO AIRTIME,116763N,36m Standard1 25GB Red Silver,202.5,10.125
EBU SIMO AIRTIME,116763,36m Standard1 25GB Red Silver,101.25,5.0625
EBU SIMO AIRTIME,116764N,36m Promo10 25GB Red Silver,132.5,6.625
EBU SIMO AIRTIME,116764,36m Promo10 25GB Red Silver,66.25,3.3125
EBU SIMO AIRTIME,116767N,36m Promo (low tier)7 25GB Red Silver,167.5,8.375
EBU SIMO AIRTIME,116767,36m Promo (low tier)7 25GB Red Silver,83.75,4.1875
EBU SIMO AIRTIME,116769N,36m Standard2 40GB Retention Plans Silver,217.5,10.875
EBU SIMO AIRTIME,116769,36m Standard2 40GB Retention Plans Silver,108.75,5.4375
EBU SIMO AIRTIME,116771N,36m Promo15 50GB Red Silver,167.5,8.375
EBU SIMO AIRTIME,116771,36m Promo15 50GB Red Silver,83.75,4.1875
EBU SIMO AIRTIME,116776N,36m Standard1 100GB Red Silver,232.5,11.625
EBU SIMO AIRTIME,116776,36m Standard1 100GB Red Silver,116.25,5.8125
EBU SIMO AIRTIME,116778N,36m Promo (low tier)7 100GB Red Silver,182.5,9.125
EBU SIMO AIRTIME,116778,36m Promo (low tier)7 100GB Red Silver,91.25,4.5625
EBU SIMO AIRTIME,116780N,36m Promo10 100GB Red Silver,150.0,7.5
EBU SIMO AIRTIME,116780,36m Promo10 100GB Red Silver,75.0,3.75
EBU SIMO AIRTIME,116782N,36m Standard2 120GB Retention Plans Silver,257.5,12.875
EBU SIMO AIRTIME,116782,36m Standard2 120GB Retention Plans Silver,128.75,6.4375
EBU SIMO AIRTIME,116792N,36m Promo15 250GB Red Silver,167.5,8.375
EBU SIMO AIRTIME,116792,36m Promo15 250GB Red Silver,83.75,4.1875
EBU SIMO AIRTIME,116793N,36m Promo17 250GB Red Silver,150.0,7.5
EBU SIMO AIRTIME,116793,36m Promo17 250GB Red Silver,75.0,3.75
EBU SIMO AIRTIME,116798N,36m Standard1 Unlimited Silver,252.5,12.625
EBU SIMO AIRTIME,116798,36m Standard1 Unlimited Silver,164.125,8.20625
EBU SIMO AIRTIME,116804N,36m Standard1 Unlimited Max Silver,282.5,14.125
EBU SIMO AIRTIME,116804,36m Standard1 Unlimited Max Silver,183.625,9.18125
